AttrValPair                                                                                                   Support           Confidence
(%/NN, 1/CD)                                                                                                  1.46177E-4          0.03704 
(%/NN, 10-20/CD)                                                                                              1.46177E-4          0.03704 
(%/NN, 10/CD)                                                                                                 1.46177E-4          0.03704 
(%/NN, 100/CD)                                                                                                7.30887E-4          0.18519 
(%/NN, 100/CD)                                                                                                7.30887E-4          0.18519 
(%/NN, 100/CD)                                                                                                7.30887E-4          0.18519 
(%/NN, 100/CD)                                                                                                7.30887E-4          0.18519 
(%/NN, 100/CD)                                                                                                7.30887E-4          0.18519 
(%/NN, 14/CD)                                                                                                 1.46177E-4          0.03704 
(%/NN, 20/CD)                                                                                                 2.92355E-4          0.07407 
(%/NN, 20/CD)                                                                                                 2.92355E-4          0.07407 
(%/NN, 25/CD)                                                                                                 1.46177E-4          0.03704 
(%/NN, 30-35/CD)                                                                                              2.92355E-4          0.07407 
(%/NN, 30-35/CD)                                                                                              2.92355E-4          0.07407 
(%/NN, 40/CD)                                                                                                 1.46177E-4          0.03704 
(%/NN, 5/CD)                                                                                                  1.46177E-4          0.03704 
(%/NN, 50/CD)                                                                                                 5.8471E-4           0.14815 
(%/NN, 50/CD)                                                                                                 5.8471E-4           0.14815 
(%/NN, 50/CD)                                                                                                 5.8471E-4           0.14815 
(%/NN, 50/CD)                                                                                                 5.8471E-4           0.14815 
(%/NN, 6-14/CD)                                                                                               1.46177E-4          0.03704 
(%/NN, 65/CD)                                                                                                 1.46177E-4          0.03704 
(%/NN, 85/CD)                                                                                                 4.38532E-4          0.11111 
(%/NN, 85/CD)                                                                                                 4.38532E-4          0.11111 
(%/NN, 85/CD)                                                                                                 4.38532E-4          0.11111 
(%/NN, 90/CD)                                                                                                 1.46177E-4          0.03704 
(%/NN, 99.99/CD)                                                                                              1.46177E-4          0.03704 
(((((((Door/NNP, Pet/NNP), Insulated/NNP), Series/NNP), Weather/NNP), All/NNP), Pet/NNP), Perfect/NN          1.46177E-4          1.0     
((((((Conditioner/NNP, Air/NNP), Inverter/NNP), System/NNP), Split/NNP), kw/NN), 6.2/CD)                      1.46177E-4          1.0     
((((((Conditioner/NNP, Air/NNP), Inverter/NNP), System/NNP), Split/NNP), kw/NN), new/JJ)                      1.46177E-4          1.0     
((((((Sold/NNP, Plastic/NNP), 15W/NNP), #SHT/NNP), Model/NNP), warranty/NN), 5-year/JJ)                       1.46177E-4          1.0     
((((((Sold/NNP, Plastic/NNP), 15W/NNP), #SHT/NNP), Model/NNP), warranty/NN), limited/JJ)                      1.46177E-4          1.0     
(((((bi/NN, .3/NN), gu5/NN), halogen/NN), voltage/NN), high/JJ)                                               1.46177E-4          1.0     
(((((boiler/NN, combination/NN), he24/NN), Icos/NNP), Ideal/NNP), new/JJ)                                     1.46177E-4          1.0     
(((((Caulk/NNP, II/NNP), Silicone/NNP), Supreme/NNP), kb/NN), White/NNP)                                      1.46177E-4          1.0     
(((((State/NNP, Code/NNP), Improvement/NNP), Home/NNP), County/NNP), Fairfax/NNP)                             1.46177E-4          1.0     
((((anchor/NNS, type/NN), solver/NN), stud/NN), self-drilling/JJ)                                             1.46177E-4          1.0     
((((basket/NN, slot/NN), mail/NN), door/NN), garage/NN)                                                       1.46177E-4          1.0     
((((board/NN, particle/NN), Veneer/NNP), Cherry/NNP), thick/JJ)                                               1.46177E-4          1.0     
((((Clips/NNP, Mounting/NNP), Mirror/NNP), Loaded/NNP), Spring/NNP)                                           1.46177E-4          1.0     
((((Code/NNP, Residential/NNP), International/NNP), Code/NNP), Residential/NNP)                               1.46177E-4          1.0     
((((insulation/NN, loft/NN), fibre/NN), glass/NN), fitting/JJ)                                                1.46177E-4          1.0     
((((interrupter/NN, circuit/NN), fault/NN), ground/NN), common/JJ)                                            1.46177E-4          1.0     
((((line/NN, Frost/NNP), Below/NNP), BTU/hr/NNP), 21818/CD)                                                   1.46177E-4          1.0     
((((line/NN, Frost/NNP), Below/NNP), BTU/hr/NNP), =/JJ)                                                       1.46177E-4          1.0     
((((Motors/NNP, Fan/NNP), Vent/NNP), Bath/NNP), Replacement/NNP)                                              1.46177E-4          1.0     
((((nail/NNS, shank/NN), ring/NN), steel/NN), stainless/JJ)                                                   1.46177E-4          1.0     
((((nozzle/NN, spray/NN), hose/NN), garden/NN), standard/JJ)                                                  1.46177E-4          1.0     
((((pipe/NN, drainage/NN), kitchen/NN), iron/NN), cast/NN)                                                    1.46177E-4          1.0     
((((recipe/NNS, bait/NN), ant/NN), acid/NN), boric/JJ)                                                        1.46177E-4          1.0     
((((recipe/NNS, bait/NN), ant/NN), acid/NN), few/JJ)                                                          1.46177E-4          1.0     
((((size/NN, Room/NNP), Minimum/NNP), size/NN), Table/NNP)                                                    1.46177E-4          1.0     
((((system/NN, automation/NN), home/NN), party/NN), third/JJ)                                                 1.46177E-4          1.0     
((((water/NN, use/NN), ac/NN), system/NN), split/JJ)                                                          1.46177E-4          1.0     
((((®/NN, Humitek/NNP), Brand/NNP), ®/NNP), Sheetrock/NNP)                                                    1.46177E-4          1.0     
(((adhesive/NN, construction/NN), duty/NN), heavy/JJ)                                                         2.92355E-4          1.0     
(((adhesive/NN, construction/NN), duty/NN), heavy/JJ)                                                         2.92355E-4          1.0     
(((Adhesive/NNP, Mirror/NNP), Nails/NNPS), liquid/NN)                                                         1.46177E-4          1.0     
(((area/NNS, danger/NN), fire/NN), high/JJ)                                                                   1.46177E-4          1.0     
(((assembly/NN, valve/NN), nylon/NN), tough/JJ)                                                               1.46177E-4          1.0     
(((audit/NN, energy/NN), home/NN), basic/JJ)                                                                  1.46177E-4          1.0     
(((blade/NNS, knife/NN), utility/NN), 100/CD)                                                                 1.46177E-4          1.0     
(((board/NN, foam/NN), polystyrene/NN), use/NN)                                                               1.46177E-4          1.0     
(((brand/NN, tool/NN), quality/NN), other/JJ)                                                                 1.46177E-4          1.0     
(((brush/NN, paint/NN), quality/NN), good/JJ)                                                                 1.46177E-4          1.0     
(((bulb/NNS, heating/NN), 250w/NN), 4x/NN)                                                                    1.46177E-4          1.0     
(((cabinet/NN, style/NN), craftsman/NN), new/JJ)                                                              1.46177E-4          1.0     
(((caulk/NN, II/NNP), Silicone/NNP), GE/NNP)                                                                  1.46177E-4          1.0     
(((chamber/NN, return/NN), air/NN), cold/JJ)                                                                  1.46177E-4          1.0     
(((Chemicals/NNPS, Organic/NNP), Volatile/NNP), =/JJ)                                                         1.46177E-4          1.0     
(((circuit/NNS, amp/NN), gauge/20/NN), 12/CD)                                                                 1.46177E-4          1.0     
(((circuit/NNS, unit/NN), ac/NN), window/NN)                                                                  1.46177E-4          1.0     
