AttrValPair                                                                                                   Support           Confidence
(water/NN, hot/JJ)                                                                                            0.00242             0.50702 
(heater/NN, water/NN)                                                                                         0.00175             0.62406 
(wire/NN, black/JJ)                                                                                           0.00172             0.08959 
(wire/NN, white/JJ)                                                                                           0.00163             0.08481 
(switch/NN, light/JJ)                                                                                         0.00139             0.15072 
(side/NN, one/CD)                                                                                             0.00138             0.17676 
(wire/NN, ground/NN)                                                                                          0.00132             0.06868 
(idea/NN, good/JJ)                                                                                            0.00131             0.56224 
(side/NN, other/JJ)                                                                                           0.00127             0.16297 
(box/NN, junction/NN)                                                                                         0.00125             0.15894 
(fixture/NN, light/JJ)                                                                                        0.00123             0.39001 
(breaker/NN, circuit/NN)                                                                                      0.00106             0.22298 
(barrier/NN, vapor/NN)                                                                                        0.00106             0.48891 
(fan/NN, ceiling/NN)                                                                                          9.82742E-4          0.30445 
(wire/NN, two/CD)                                                                                             9.63585E-4          0.05007 
(time/NN, same/JJ)                                                                                            9.3485E-4           0.13055 
(Depot/NNP, Home/NNP)                                                                                         8.90789E-4          0.92079 
(luck/NN, good/JJ)                                                                                            8.79295E-4          0.881   
(wire/NN, hot/JJ)                                                                                             7.96921E-4          0.04141 
(wire/NN, red/JJ)                                                                                             7.95005E-4          0.04131 
(wire/NN, neutral/JJ)                                                                                         7.95005E-4          0.04131 
(box/NN, electrical/JJ)                                                                                       7.85427E-4          0.1001  
(wall/NN, exterior/NN)                                                                                        7.85427E-4          0.0869  
(room/NN, living/NN)                                                                                          7.81596E-4          0.15269 
(panel/NN, main/JJ)                                                                                           7.52861E-4          0.16947 
(thing/NN, same/JJ)                                                                                           7.26041E-4          0.09678 
(water/NN, cold/JJ)                                                                                           7.24125E-4          0.15162 
(end/NN, other/JJ)                                                                                            7.088E-4            0.22953 
(store/NN, hardware/NN)                                                                                       7.01137E-4          0.44417 
(pressure/NN, water/NN)                                                                                       6.93475E-4          0.24493 
(%/NN, 100/CD)                                                                                                6.93475E-4          0.19771 
(thing/NN, one/CD)                                                                                            6.89643E-4          0.09193 
(owner/NN, previous/JJ)                                                                                       6.81981E-4          0.62347 
(bit/NN, little/JJ)                                                                                           6.70487E-4          0.36649 
(year/NN, few/JJ)                                                                                             6.53245E-4          0.09239 
(thing/NN, other/JJ)                                                                                          6.18763E-4          0.08248 
(time/NN, long/JJ)                                                                                            6.01522E-4          0.084   
(saw/NN, circular/JJ)                                                                                         5.93859E-4          0.38037 
(end/NN, one/CD)                                                                                              5.91944E-4          0.19169 
(house/NN, old/JJ)                                                                                            5.86197E-4          0.15725 
(nut/NN, wire/NN)                                                                                             5.8045E-4           0.45701 
(thing/NN, only/JJ)                                                                                           5.76618E-4          0.07686 
(space/NN, crawl/NN)                                                                                          5.68956E-4          0.15976 
(way/NN, only/JJ)                                                                                             5.65124E-4          0.08054 
