Itemset                                                                                                       Support           Confidence
(water/NN, hot/JJ)                                                                                            0.0025              0.52129 
(heater/NN, water/NN)                                                                                         0.00177             0.66488 
(side/NN, one/CD)                                                                                             0.0013              0.1952  
(idea/NN, good/JJ)                                                                                            0.00127             0.48973 
(switch/NN, light/JJ)                                                                                         0.00125             0.17121 
(side/NN, other/JJ)                                                                                           0.00116             0.17467 
(fixture/NN, light/JJ)                                                                                        0.00109             0.46768 
(fan/NN, ceiling/NN)                                                                                          0.00107             0.3514  
(wire/NN, black/JJ)                                                                                           0.00107             0.08665 
(wire/NN, ground/NN)                                                                                          0.00105             0.08564 
(box/NN, junction/NN)                                                                                         0.00105             0.16104 
(wire/NN, white/JJ)                                                                                           0.00103             0.08361 
(barrier/NN, vapor/NN)                                                                                        0.00101             0.48709 
(wire/NNS, two/CD)                                                                                            9.51468E-4          0.14079 
(time/NN, same/JJ)                                                                                            8.96336E-4          0.1949  
(Depot/NNP, Home/NNP)                                                                                         8.32312E-4          0.92126 
(breaker/NN, circuit/NN)                                                                                      8.30534E-4          0.25094 
(luck/NN, good/JJ)                                                                                            8.12749E-4          0.88054 
(pressure/NN, water/NN)                                                                                       7.61174E-4          0.27192 
(room/NN, living/NN)                                                                                          7.4339E-4           0.18009 
(water/NN, cold/JJ)                                                                                           7.14935E-4          0.14883 
(panel/NN, main/JJ)                                                                                           7.07821E-4          0.19664 
(wire/NN, neutral/JJ)                                                                                         6.65138E-4          0.0541  
(thing/NN, same/JJ)                                                                                           6.61581E-4          0.13757 
(box/NN, electrical/JJ)                                                                                       6.52689E-4          0.1     
(%/NN, 100/CD)                                                                                                6.47354E-4          0.18948 
(end/NN, other/JJ)                                                                                            6.4024E-4           0.24573 
(thing/NN, one/CD)                                                                                            6.34905E-4          0.13203 
(wire/NN, red/JJ)                                                                                             6.20677E-4          0.05048 
(year/NNS, few/JJ)                                                                                            6.0645E-4           0.11431 
(space/NN, crawl/NN)                                                                                          6.02893E-4          0.19349 
(bit/NN, little/JJ)                                                                                           5.97557E-4          0.26752 
(saw/NN, circular/JJ)                                                                                         5.92222E-4          0.4163  
(air/NN, cold/JJ)                                                                                             5.76216E-4          0.16241 
(time/NN, long/JJ)                                                                                            5.70881E-4          0.12413 
(end/NN, one/CD)                                                                                              5.63767E-4          0.21638 
(sink/NN, kitchen/NN)                                                                                         5.61989E-4          0.39303 
(wire/NNS, black/JJ)                                                                                          5.56653E-4          0.08237 
(pump/NN, sump/NN)                                                                                            5.53096E-4          0.25223 
(slab/NN, concrete/JJ)                                                                                        5.53096E-4          0.62325 
(switch/NN, dimmer/JJR)                                                                                       5.51318E-4          0.0755  
(house/NN, old/JJ)                                                                                            5.42426E-4          0.16319 
(floor/NN, concrete/JJ)                                                                                       5.3709E-4           0.08575 
(wire/NN, hot/JJ)                                                                                             5.29977E-4          0.04311 
(circuit/NN, same/JJ)                                                                                         5.28198E-4          0.13469 
(store/NN, hardware/NN)                                                                                       5.22863E-4          0.49746 
(wire/NNS, white/JJ)                                                                                          5.19306E-4          0.07684 
(way/NN, only/JJ)                                                                                             5.17527E-4          0.08172 
(pipe/NN, drain/NN)                                                                                           5.17527E-4          0.11475 
(wall/NN, exterior/NN)                                                                                        5.15749E-4          0.08018 
(box/NN, switch/NN)                                                                                           5.15749E-4          0.07902 
(box/NN, breaker/NN)                                                                                          5.08635E-4          0.07793 
((heater/NN, water/NN), hot/JJ)                                                                               4.94408E-4          0.52952 
(thing/NN, only/JJ)                                                                                           4.92629E-4          0.10244 
(thing/NN, whole/JJ)                                                                                          4.81959E-4          0.10022 
(day/NNS, few/JJ)                                                                                             4.8018E-4           0.28723 
(f/NN, °/CD)                                                                                                  4.8018E-4           0.4485  
(switch/NNS, two/CD)                                                                                          4.73066E-4          0.19027 
(conditioner/NN, air/NN)                                                                                      4.62396E-4          0.84691 
(time/NN, first/JJ)                                                                                           4.55282E-4          0.09899 
(floor/NN, second/JJ)                                                                                         4.53503E-4          0.0724  
(problem/NN, same/JJ)                                                                                         4.49947E-4          0.14761 
(outlet/NN, gfci/NN)                                                                                          4.4639E-4           0.12607 
(house/NN, new/JJ)                                                                                            4.44611E-4          0.13376 
(breaker/NN, main/JJ)                                                                                         4.41054E-4          0.13326 
(pump/NN, heat/NN)                                                                                            4.39276E-4          0.20032 
(owner/NN, previous/JJ)                                                                                       4.33941E-4          0.63874 
(door/NN, garage/NN)                                                                                          4.26827E-4          0.10845 
