Object                                                                                    Feature                       Support 
#SHT/NNP                                                                                                                4.20397E-5
%/NN                                                                                      1/CD                          4.20397E-5
%/NN                                                                                      10-20/CD                      4.20397E-5
%/NN                                                                                      10/CD                         4.20397E-5
%/NN                                                                                      100/CD                        2.10198E-4
%/NN                                                                                      100/CD                        2.10198E-4
%/NN                                                                                      100/CD                        2.10198E-4
%/NN                                                                                      100/CD                        2.10198E-4
%/NN                                                                                      100/CD                        2.10198E-4
%/NN                                                                                      14/CD                         4.20397E-5
%/NN                                                                                      20/CD                         8.40795E-5
%/NN                                                                                      20/CD                         8.40795E-5
%/NN                                                                                      25/CD                         4.20397E-5
%/NN                                                                                      30-35/CD                      8.40795E-5
%/NN                                                                                      30-35/CD                      8.40795E-5
%/NN                                                                                      40/CD                         4.20397E-5
%/NN                                                                                      5/CD                          4.20397E-5
%/NN                                                                                      50/CD                         1.68159E-4
%/NN                                                                                      50/CD                         1.68159E-4
%/NN                                                                                      50/CD                         1.68159E-4
%/NN                                                                                      50/CD                         1.68159E-4
%/NN                                                                                      6-14/CD                       4.20397E-5
%/NN                                                                                      65/CD                         4.20397E-5
%/NN                                                                                      85/CD                         1.26119E-4
%/NN                                                                                      85/CD                         1.26119E-4
%/NN                                                                                      85/CD                         1.26119E-4
%/NN                                                                                      90/CD                         4.20397E-5
%/NN                                                                                      99.99/CD                      4.20397E-5
%/NN                                                                                                                    1.26119E-4
%/NN                                                                                                                    1.26119E-4
%/NN                                                                                                                    1.26119E-4
'80/NNS                                                                                                                 4.20397E-5
((((((Door/NNP, Pet/NNP), Insulated/NNP), Series/NNP), Weather/NNP), All/NNP), P          Perfect/NNP                   4.20397E-5
(((((Conditioner/NNP, Air/NNP), Inverter/NNP), System/NNP), Split/NNP), kw/NN)            6.2/CD                        4.20397E-5
(((((Conditioner/NNP, Air/NNP), Inverter/NNP), System/NNP), Split/NNP), kw/NN)            new/JJ                        4.20397E-5
(((((Sold/NNP, Plastic/NNP), 15W/NNP), #SHT/NNP), Model/NNP), warranty/NN)                5-year/JJ                     4.20397E-5
(((((Sold/NNP, Plastic/NNP), 15W/NNP), #SHT/NNP), Model/NNP), warranty/NN)                limited/JJ                    4.20397E-5
((((bi/NN, .3/NN), gu5/NN), halogen/NN), voltage/NN)                                      high/JJ                       4.20397E-5
((((boiler/NN, combination/NN), he24/NN), Icos/NNP), Ideal/NNP)                           new/JJ                        4.20397E-5
((((Caulk/NNP, II/NNP), Silicone/NNP), Supreme/NNP), kb/NN)                               White/NNP                     4.20397E-5
((((State/NNP, Code/NNP), Improvement/NNP), Home/NNP), County/NNP)                        Fairfax/NNP                   4.20397E-5
(((anchor/NNS, type/NN), solver/NN), stud/NN)                                             self-drilling/JJ              4.20397E-5
(((basket/NN, slot/NN), mail/NN), door/NN)                                                garage/NN                     4.20397E-5
(((board/NN, particle/NN), Veneer/NNP), Cherry/NNP)                                       thick/JJ                      4.20397E-5
(((Clips/NNP, Mounting/NNP), Mirror/NNP), Loaded/NNP)                                     Spring/NNP                    4.20397E-5
(((Code/NNP, Residential/NNP), International/NNP), Code/NNP)                              Residential/NNP               4.20397E-5
(((insulation/NN, loft/NN), fibre/NN), glass/NN)                                          fitting/JJ                    4.20397E-5
(((interrupter/NN, circuit/NN), fault/NN), ground/NN)                                     common/JJ                     4.20397E-5
(((line/NN, Frost/NNP), Below/NNP), BTU/hr/NNP)                                           21818/CD                      4.20397E-5
(((line/NN, Frost/NNP), Below/NNP), BTU/hr/NNP)                                           =/JJ                          4.20397E-5
(((Motors/NNP, Fan/NNP), Vent/NNP), Bath/NNP)                                             Replacement/NNP               4.20397E-5
(((nail/NNS, shank/NN), ring/NN), steel/NN)                                               stainless/JJ                  4.20397E-5
(((nozzle/NN, spray/NN), hose/NN), garden/NN)                                             standard/JJ                   4.20397E-5
(((pipe/NN, drainage/NN), kitchen/NN), iron/NN)                                           cast/NN                       4.20397E-5
(((recipe/NNS, bait/NN), ant/NN), acid/NN)                                                boric/JJ                      4.20397E-5
(((recipe/NNS, bait/NN), ant/NN), acid/NN)                                                few/JJ                        4.20397E-5
(((size/NN, Room/NNP), Minimum/NNP), size/NN)                                             Table/NNP                     4.20397E-5
(((system/NN, automation/NN), home/NN), party/NN)                                         third/JJ                      4.20397E-5
(((water/NN, use/NN), ac/NN), system/NN)                                                  split/JJ                      4.20397E-5
(((®/NN, Humitek/NNP), Brand/NNP), ®/NNP)                                                 Sheetrock/NNP                 4.20397E-5
((adhesive/NN, construction/NN), duty/NN)                                                 heavy/JJ                      8.40795E-5
