Itemset                                                                                                       Support           Confidence
(water/NN, hot/JJ)                                                                                            0.00437             0.40244 
(idea/NN, good/JJ)                                                                                            0.00384             0.85294 
(Depot/NNP, Home/NNP)                                                                                         0.00278             1.0     
(filter/NN, air/NN)                                                                                           0.00252             0.73077 
(siding/NN, vinyl/NN)                                                                                         0.00238             0.81818 
(thing/NN, one/CD)                                                                                            0.00238             0.33333 
(way/NN, good/JJ)                                                                                             0.00238             0.26471 
(type/NNS, different/JJ)                                                                                      0.00212             0.66667 
(brick/NN, exterior/NN)                                                                                       0.00212             0.94118 
((opener/NN, door/NN), garage/NN)                                                                             0.00199             1.0     
(pressure/NN, water/NN)                                                                                       0.00199             0.48387 
(sink/NN, enamel/NN)                                                                                          0.00185             0.875   
(cable/NN, fish/NN)                                                                                           0.00185             0.63636 
(door/NN, steel/NN)                                                                                           0.00185             0.2029  
(stain/NNS, rust/NN)                                                                                          0.00185             0.66667 
((heater/NN, water/NN), hot/JJ)                                                                               0.00172             0.38235 
(owner/NN, previous/JJ)                                                                                       0.00159             1.0     
(attachment/NN, joist-to-ledger/NN)                                                                           0.00159             0.85714 
(weight/NN, much/JJ)                                                                                          0.00159             0.75    
(panel/NNS, solar/JJ)                                                                                         0.00159             0.85714 
(baseboard/NN, old/JJ)                                                                                        0.00159             0.85714 
(fixture/NNS, shower/NN)                                                                                      0.00159             0.85714 
(door/NNS, pocket/NN)                                                                                         0.00146             0.61111 
(flooring/NN, hardwood/NN)                                                                                    0.00146             0.64706 
(bldg/NN, outside/JJ)                                                                                         0.00146             1.0     
(air/NN, cold/JJ)                                                                                             0.00146             0.33333 
(door/NN, pet/NN)                                                                                             0.00146             0.15942 
(pipe/NNS, steam/NN)                                                                                          0.00146             0.47826 
(patio/NN, concrete/JJ)                                                                                       0.00132             0.76923 
((resource/NNS, sites/web/NN), review/NN)                                                                     0.00132             1.0     
((heater/NN, water/NN), gas/NN)                                                                               0.00132             0.29412 
(nail/NNS, gutter/NN)                                                                                         0.00132             0.38462 
(spot/NNS, black/JJ)                                                                                          0.00132             0.4     
((heater/NNS, water/NN), tankless/JJ)                                                                         0.00132             0.90909 
(wall/NN, exterior/NN)                                                                                        0.00132             0.22727 
(((unit/NN, conditioning/NN), air/NN), central/JJ)                                                            0.00132             0.66667 
(water/NN, slow/JJ)                                                                                           0.00119             0.10976 
(panel/NN, solar/JJ)                                                                                          0.00119             0.5625  
(switch/NNS, smart/JJ)                                                                                        0.00119             0.29032 
(automation/NN, home/NN)                                                                                      0.00119             1.0     
(standpoint/NN, engineering/structural/JJ)                                                                    0.00119             0.69231 
(ceiling/NN, bathroom/NN)                                                                                     0.00119             0.75    
(climate/NNS, cold/JJ)                                                                                        0.00119             0.75    
(maintenance/NN, regular/JJ)                                                                                  0.00119             0.75    
(inch/NNS, 30/CD)                                                                                             0.00119             0.225   
(home/NN, own/JJ)                                                                                             0.00119             0.375   
(drain/NN, french/JJ)                                                                                         0.00106             0.88889 
(bit/NN, little/JJ)                                                                                           0.00106             0.47059 
(method/NN, good/JJ)                                                                                          0.00106             0.66667 
(door/NN, garage/NN)                                                                                          0.00106             0.11594 
(side/NN, other/JJ)                                                                                           0.00106             0.19512 
(vacuum/NN, regular/JJ)                                                                                       0.00106             1.0     
(board/NN, cement/NN)                                                                                         0.00106             0.44444 
(paint/NN, spray/NN)                                                                                          0.00106             0.25806 
(tile/NNS, several/JJ)                                                                                        0.00106             0.38095 
(condensate/NN, two/CD)                                                                                       0.00106             1.0     
(room/NN, living/NN)                                                                                          0.00106             0.22857 
((barrier/NN, Vapor/NNP), additional/JJ)                                                                      0.00106             1.0     
(Fireplace/NNP, Electric/NNP)                                                                                 9.27275E-4          1.0     
(stud/NNS, metal/NN)                                                                                          9.27275E-4          0.58333 
(side/NN, one/CD)                                                                                             9.27275E-4          0.17073 
(pump/NN, sump/NN)                                                                                            9.27275E-4          0.41176 
(cavity/NN, wall/NN)                                                                                          9.27275E-4          0.77778 
((paint/NN, voc/NN), low/JJ)                                                                                  9.27275E-4          1.0     
(pipe/NN, plastic/JJ)                                                                                         9.27275E-4          0.28    
(((wall/NNS, brick/concrete/NN), quality/NN), poor/JJ)                                                        9.27275E-4          1.0     
((suction/NN, vacuum/NN), central/JJ)                                                                         9.27275E-4          1.0     
(fan/NN, extractor/NN)                                                                                        9.27275E-4          0.29167 
(wiring/NN, aluminum/NN)                                                                                      9.27275E-4          0.24138 
(year/NNS, 5/CD)                                                                                              9.27275E-4          0.14894 
(unit/NN, ac/NN)                                                                                              9.27275E-4          0.2     
(difference/NN, practical/JJ)                                                                                 9.27275E-4          0.63636 
(house/NN, old/JJ)                                                                                            9.27275E-4          0.17073 
(roof/NN, flat/JJ)                                                                                            7.94807E-4          0.22222 
(wall/NN, bathroom/NN)                                                                                        7.94807E-4          0.13636 
(driveway/NN, asphalt/NN)                                                                                     7.94807E-4          1.0     
(desk/NN, do-it-yourself/JJ)                                                                                  7.94807E-4          0.85714 
(solution/NN, water/NN)                                                                                       7.94807E-4          0.23077 
(smell/NN, ground/soil/NN)                                                                                    7.94807E-4          0.6     
(switch/NN, light/JJ)                                                                                         7.94807E-4          0.3     
(air/NN, hot/JJ)                                                                                              7.94807E-4          0.18182 
(office/NN, home/NN)                                                                                          7.94807E-4          1.0     
(line/NNS, utility/NN)                                                                                        7.94807E-4          0.18182 
(((system/NNS, mitigation/NN), radon/NN), home/NN)                                                            7.94807E-4          1.0     
(boiler/NN, combination/NN)                                                                                   7.94807E-4          0.66667 
(drill/NN, cordless/JJ)                                                                                       7.94807E-4          0.54545 
(wall/NN, difficult/JJ)                                                                                       7.94807E-4          0.13636 
((hp/psi/NN, compressor/NN), minimum/JJ)                                                                      7.94807E-4          0.5     
(bolt/NNS, central/JJ)                                                                                        7.94807E-4          0.66667 
(use/NN, home/NN)                                                                                             7.94807E-4          0.6     
(thing/NN, important/JJ)                                                                                      7.94807E-4          0.11111 
(saw/NN, circular/JJ)                                                                                         7.94807E-4          0.75    
(year/NNS, few/JJ)                                                                                            7.94807E-4          0.12766 
((hp/psi/NN, compressor/NN), recommended/JJ)                                                                  7.94807E-4          0.5     
(water/NN, cold/JJ)                                                                                           7.94807E-4          0.07317 
(world/NN, metric/JJ)                                                                                         7.94807E-4          0.54545 
(edge/NN, non-pivoting/JJ)                                                                                    7.94807E-4          0.3     
(switch/NNS, light/JJ)                                                                                        7.94807E-4          0.19355 
(basement/NN, unfinished/JJ)                                                                                  7.94807E-4          0.5     
(fan/NN, exhaust/NN)                                                                                          7.94807E-4          0.25    
(thing/NN, same/JJ)                                                                                           7.94807E-4          0.11111 
(floor/NN, concrete/JJ)                                                                                       6.62339E-4          0.12821 
(faucet/NN, tub/NN)                                                                                           6.62339E-4          0.45455 
(wiring/NN, tube/NN)                                                                                          6.62339E-4          0.17241 
(board/NNS, deck/NN)                                                                                          6.62339E-4          0.38462 
((sheet/NN, cement/NN), asbestos/NN)                                                                          6.62339E-4          1.0     
((floor/NN, oak/NN), new/JJ)                                                                                  6.62339E-4          0.5     
(mirror/NN, frameless/JJ)                                                                                     6.62339E-4          1.0     
(form/NN, concrete/JJ)                                                                                        6.62339E-4          0.71429 
(time/NN, long/JJ)                                                                                            6.62339E-4          0.13158 
(height/NN, standard/JJ)                                                                                      6.62339E-4          0.5     
(%/NN, 100/CD)                                                                                                6.62339E-4          0.18519 
(((Interrupter/NNP, Circuit/NNP), Fault/NNP), Arc/NNP)                                                        6.62339E-4          1.0     
(voltage/NN, low/JJ)                                                                                          6.62339E-4          0.38462 
((store/NN, hardware/NN), local/JJ)                                                                           6.62339E-4          1.0     
(product/NNS, rock/NN)                                                                                        6.62339E-4          0.3125  
(switch/NN, smart/JJ)                                                                                         6.62339E-4          0.25    
((floor/NN, oak/NN), solid/JJ)                                                                                6.62339E-4          0.5     
(foot/NNS, square/JJ)                                                                                         6.62339E-4          0.11628 
(roof/NN, Palruf/NNP)                                                                                         6.62339E-4          0.18519 
((support/NN, platform/NN), treehouse/NN)                                                                     6.62339E-4          1.0     
(home/NN, new/JJ)                                                                                             6.62339E-4          0.20833 
(work/NN, electrical/JJ)                                                                                      6.62339E-4          0.12195 
(door/NN, pocket/NN)                                                                                          6.62339E-4          0.07246 
(handler/NN, air/NN)                                                                                          6.62339E-4          0.83333 
(floor/NN, first/JJ)                                                                                          6.62339E-4          0.12821 
(unit/NN, new/JJ)                                                                                             6.62339E-4          0.14286 
(tile/NN, floor/NN)                                                                                           6.62339E-4          0.45455 
(((unit/NN, conditioning/NN), air/NN), dual-zone/JJ)                                                          6.62339E-4          0.33333 
(year/NNS, several/JJ)                                                                                        6.62339E-4          0.10638 
(size/NNS, different/JJ)                                                                                      6.62339E-4          0.38462 
(buzzer/NN, apartment/NN)                                                                                     6.62339E-4          1.0     
(door/NN, glass/NN)                                                                                           6.62339E-4          0.07246 
(roof/NN, concrete/JJ)                                                                                        6.62339E-4          0.18519 
(spore/NNS, mold/NN)                                                                                          6.62339E-4          1.0     
(luck/NN, good/JJ)                                                                                            6.62339E-4          0.71429 
(room/NN, one/CD)                                                                                             6.62339E-4          0.14286 
((fitting/NN, repair/NN), Fernco/NNP)                                                                         6.62339E-4          1.0     
(line/NNS, condensate/NN)                                                                                     6.62339E-4          0.15152 
(way/NN, friendly/JJ)                                                                                         6.62339E-4          0.07353 
(wall/NNS, exterior/NN)                                                                                       6.62339E-4          0.2381  
(wire/NN, electrical/JJ)                                                                                      6.62339E-4          0.15152 
